,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,Quincy Acy,0.585,8.7,2.7,2.1,0.6,0.6,0.4,0.429,0.4,0.625,1.5
1,Quincy Acy,0.341,14.0,2.7,3.6,0.4,0.3,0.4,0.47200000000000003,0.2,0.667,0.2
2,Steven Adams,0.72,14.8,3.3,4.1,0.5,0.5,0.7,0.503,0.0,0.581,1.3
3,Jeff Adrien,0.524,10.2,2.3,3.5,0.3,0.3,0.6,0.55,0.0,0.52,2.9
4,Jeff Adrien,0.183,25.2,10.9,7.8,1.1,0.6,0.8,0.515,0.0,0.67,2.7
5,Arron Afflalo,0.28,35.0,18.2,3.6,3.4,0.5,0.0,0.45899999999999996,0.42700000000000005,0.815,0.9
6,Alexis Ajinça,0.415,17.0,5.9,4.9,0.7,0.4,0.8,0.546,0.0,0.836,1.8
7,Cole Aldrich,0.451,7.2,2.0,2.8,0.3,0.2,0.7,0.541,0.0,0.867,5.3
8,LaMarcus Aldridge,0.659,36.2,23.2,11.1,2.6,0.9,1.0,0.45799999999999996,0.2,0.8220000000000001,2.1
9,Lavoy Allen,0.23199999999999998,18.8,5.2,5.4,1.3,0.4,0.5,0.44,0.154,0.675,1.2
10,Lavoy Allen,0.6829999999999999,8.0,2.9,2.4,0.4,0.1,0.4,0.5,0.0,0.6,7.5
11,Ray Allen*,0.659,26.5,9.6,2.8,2.0,0.7,0.1,0.442,0.375,0.905,1.5
12,Tony Allen,0.61,23.2,9.0,3.8,1.7,1.6,0.3,0.494,0.23399999999999999,0.628,1.1
13,Al-Farouq Aminu,0.415,25.6,7.2,6.2,1.4,1.0,0.5,0.474,0.271,0.664,0.4
14,Lou Amundson,0.415,10.2,2.1,3.1,0.3,0.5,0.6,0.5,0.0,0.25,4.1
15,Lou Amundson,0.585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
16,Chris Andersen,0.659,19.4,6.6,5.3,0.3,0.4,1.3,0.644,0.25,0.71,3.1
17,Alan Anderson,0.537,22.7,7.2,2.2,1.0,0.6,0.1,0.4,0.33899999999999997,0.78,0.1
18,James Anderson,0.23199999999999998,28.9,10.1,3.8,1.9,0.9,0.4,0.431,0.32799999999999996,0.726,0.1
19,Ryan Anderson,0.415,36.1,19.8,6.5,0.8,0.5,0.3,0.43799999999999994,0.409,0.9520000000000001,0.0
20,Giannis Antetokounmpo,0.183,24.6,6.8,4.4,1.9,0.8,0.8,0.414,0.34700000000000003,0.6829999999999999,6.0
21,Carmelo Anthony,0.451,38.7,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,1.7
22,Joel Anthony,0.659,3.1,0.5,0.6,0.0,0.0,0.3,0.33299999999999996,0.0,1.0,1.9
23,Joel Anthony,0.305,7.1,1.0,1.5,0.1,0.1,0.4,0.385,0.0,0.33299999999999996,2.3
24,Pero Antić,0.46299999999999997,18.5,7.0,4.2,1.2,0.4,0.2,0.418,0.327,0.758,1.2
25,Trevor Ariza,0.537,35.4,14.4,6.2,2.5,1.6,0.3,0.456,0.40700000000000003,0.772,10.7
26,Hilton Armstrong,0.622,6.5,1.7,3.1,0.3,0.3,0.3,0.474,0.0,0.43799999999999994,0.2
27,Darrell Arthur,0.439,17.1,5.9,3.1,0.9,0.6,0.7,0.395,0.375,0.855,0.0
28,Ömer Aşık,0.659,20.2,5.8,7.9,0.5,0.3,0.8,0.532,0.0,0.619,0.1
29,D.J. Augustin,0.585,8.2,2.1,0.4,1.0,0.1,0.0,0.292,0.091,1.0,1.4
30,D.J. Augustin,0.585,30.4,14.9,2.1,5.0,0.9,0.0,0.419,0.41100000000000003,0.882,8.0
31,Gustavo Ayón,0.46299999999999997,16.5,4.3,4.8,1.1,1.0,0.4,0.51,0.0,0.4,0.3
32,Jeff Ayres,0.7559999999999999,13.0,3.3,3.5,0.8,0.2,0.3,0.58,0.0,0.691,0.7
33,Chris Babb,0.305,9.4,1.6,1.2,0.2,0.4,0.0,0.267,0.222,0.0,2.4
34,Luke Babbitt,0.415,17.5,6.3,3.3,1.1,0.3,0.4,0.39,0.379,0.778,6.2
35,Leandro Barbosa,0.585,18.4,7.5,1.9,1.6,0.4,0.2,0.42700000000000005,0.28,0.795,-0.2
36,J.J. Barea,0.488,18.6,8.4,1.9,3.8,0.3,0.0,0.387,0.316,0.79,6.4
37,Andrea Bargnani,0.451,29.9,13.3,5.3,1.1,0.3,1.2,0.442,0.278,0.8240000000000001,0.7
38,Harrison Barnes,0.622,28.3,9.5,4.0,1.5,0.8,0.3,0.39899999999999997,0.34700000000000003,0.718,2.4
39,Matt Barnes,0.695,27.5,9.9,4.6,2.0,0.9,0.4,0.43799999999999994,0.34299999999999997,0.733,0.0
40,Will Barton,0.659,9.4,4.0,1.8,0.8,0.2,0.2,0.41700000000000004,0.303,0.813,0.7
41,Brandon Bass,0.305,27.6,11.1,5.7,1.1,0.4,0.9,0.486,0.33299999999999996,0.858,0.4
42,Shane Battier,0.659,20.1,4.1,1.9,0.9,0.7,0.5,0.382,0.348,0.652,0.7
43,Nicolas Batum,0.659,36.0,13.0,7.5,5.1,0.9,0.7,0.465,0.361,0.8029999999999999,1.5
44,Jerryd Bayless,0.61,21.0,8.1,1.9,2.1,0.6,0.2,0.377,0.301,0.789,3.2
45,Jerryd Bayless,0.305,25.3,10.1,2.1,3.1,1.0,0.1,0.418,0.395,0.8029999999999999,3.5
46,Aron Baynes,0.7559999999999999,9.3,3.0,2.7,0.6,0.0,0.1,0.436,0.0,0.905,0.6
47,Kent Bazemore,0.622,6.1,2.3,0.9,0.5,0.3,0.1,0.371,0.256,0.528,5.1
48,Kent Bazemore,0.32899999999999996,28.0,13.1,3.3,3.1,1.3,0.3,0.451,0.371,0.644,2.4
49,Bradley Beal,0.537,34.7,17.1,3.7,3.3,1.0,0.2,0.419,0.402,0.7879999999999999,7.9
50,Michael Beasley,0.659,15.1,7.9,3.1,0.8,0.4,0.4,0.499,0.389,0.772,2.4
51,Marco Belinelli,0.7559999999999999,25.2,11.4,2.8,2.2,0.6,0.1,0.485,0.43,0.847,1.0
52,Anthony Bennett,0.402,12.8,4.2,3.0,0.3,0.4,0.2,0.35600000000000004,0.245,0.638,1.4
53,Patrick Beverley,0.659,31.3,10.2,3.5,2.7,1.4,0.4,0.414,0.361,0.8140000000000001,0.6
54,Andris Biedriņš,0.305,7.5,0.5,2.8,0.0,0.0,0.0,1.0,0.0,0.16699999999999998,0.2
55,Chauncey Billups,0.354,16.3,3.8,1.5,2.2,0.4,0.1,0.304,0.292,0.833,-0.2
56,Bismack Biyombo,0.524,13.9,2.9,4.8,0.1,0.1,1.1,0.611,0.0,0.517,0.4
57,DeJuan Blair,0.598,15.6,6.4,4.7,0.9,0.8,0.3,0.534,0.0,0.636,4.0
