,Player,Tm,Share,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
0,LeBron James,0.6970000000000001,0.888,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.36200000000000004,0.7709999999999999,14.5
1,Kevin Durant,0.7120000000000001,0.735,38.6,28.0,8.0,3.5,1.3,1.2,0.496,0.387,0.86,12.2
2,Chris Paul,0.606,0.318,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7
3,Kobe Bryant,0.621,0.29100000000000004,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2
4,Tony Parker,0.758,0.27399999999999997,32.1,18.3,2.9,7.7,1.0,0.1,0.48,0.23,0.799,7.1
5,Kevin Love,0.39399999999999996,0.048,39.0,26.0,13.3,2.0,0.9,0.5,0.44799999999999995,0.37200000000000005,0.8240000000000001,10.0
6,Dwight Howard,0.561,0.011000000000000001,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0.0,0.491,7.7
7,Rajon Rondo,0.591,0.01,36.9,11.9,4.8,11.7,1.8,0.1,0.44799999999999995,0.23800000000000002,0.597,4.9
8,Steve Nash,0.5,0.006,31.6,12.5,3.0,10.7,0.6,0.1,0.532,0.39,0.894,5.9
9,Dwyane Wade,0.6970000000000001,0.005,33.2,22.1,4.8,4.6,1.7,1.3,0.49700000000000005,0.268,0.7909999999999999,7.7
10,Derrick Rose,0.758,0.004,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,6.0
11,Dirk Nowitzki,0.545,0.003,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.8959999999999999,7.6
12,Russell Westbrook,0.7120000000000001,0.003,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9
13,Tim Duncan,0.758,0.002,28.2,15.4,9.0,2.3,0.7,1.5,0.49200000000000005,0.0,0.695,5.9
14,Joe Johnson,0.606,0.001,35.5,18.8,3.7,3.9,0.8,0.2,0.45399999999999996,0.38799999999999996,0.8490000000000001,6.4
